sku,barcode,product_name,brand,category,subcategory,pack_size,unit,supplier,min_sell_price,notes,source_file,cost_price,sell_price,sell_price_credit
,059491000778,Mr.Noodle Spicy Chicken Instant Noodle (85 g),,other,Easy Heat,,,,,,Scarbro Mart Inventory,,1.0,
,059491100508,Mr. Noodles Chicken Instant Noodles (85 g),,other,Easy Heat,,,,,,Scarbro Mart Inventory,,1.0,
,060410001099,Lay's Bar-B-Q Potato Chips (235 g),,grocery,Chips,,,,,,Scarbro Mart Inventory,,4.99,
,060410010921,Lay's Ketchup Potato Chips (Family Size),,grocery,Chips,,,,,,Scarbro Mart Inventory,,4.99,
,061200000542,Cadbury Caramilk Chocolate Bar (50 g),,grocery,Chocolate,,,,,,Scarbro Mart Inventory,,1.99,
,062067000495,Labatt Blue Beer Can (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,2.49,
,062067382338,Corona Extra Beer (473 ml),,grocery,Beer,,,,,,Scarbro Mart Inventory,,3.99,
,062067382406,Corona Extra Can (473 ml × 6 ct),,grocery,Beer,,,,,,Scarbro Mart Inventory,,22.49,
,062100008959,Canada Dry Low Sodium Club Soda (355 ml),,grocery,Mixers,,,,,,Scarbro Mart Inventory,,1.33,
,064420001559,Sealtest 2% Milk (1L),,grocery,Milk,,,,,,Scarbro Mart Inventory,,4.99,
,064420201713,Sealtest Chocolate Milk (473 ml),,grocery,Flavored Milk,,,,,,Scarbro Mart Inventory,,1.99,
,066188004698,Maxwell House Original Roast Instant Coffee (150 g),,grocery,Coffee,,,,,,Scarbro Mart Inventory,,8.99,
,06700010403,Coke Diet Soda (710 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,2.99,
,067000104831,Coca Cola Original (355 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.33,
,068100069695,Crush Orange Soda (710 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,2.99,
,068721002222,Dempster's White Bread,,grocery,Bread,,,,,,Scarbro Mart Inventory,,3.5,
,069000009840,Pepsi Soda (710 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,2.99,
,069000010662,Pepsi Diet Soda (710 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,2.99,
,069000014288,Pepsi Diet Soda (355 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.33,
,070074641157,Ensure High Protein Chocolate Drink (8 fl oz),,grocery,Nutrition & Shakes,,,,,,Scarbro Mart Inventory,,3.31,
,070074641188,Ensure High Protein Vanilla Drink (8 oz),,grocery,Nutrition & Shakes,,,,,,Scarbro Mart Inventory,,3.31,
,070074665474,Ensure High Protein Strawberry Drink (8 fl oz),,grocery,Nutrition & Shakes,,,,,,Scarbro Mart Inventory,,3.31,
,070847012474,Monster Zero Ultra Energy Drink ((473 ml)),,grocery,Energy,,,,,,Scarbro Mart Inventory,,3.99,
,073096300088,Panasonic AAA Batteries (4 ct),,other,Batteries,,,,,,Scarbro Mart Inventory,,2.99,
,073096500235,Panasonic AA Batteries (4 ct),,other,Batteries,,,,,,Scarbro Mart Inventory,,2.99,
,07425103385381,Mr. Noodles Beef Instant Noodles (85 g),,other,Easy Heat,,,,,,Scarbro Mart Inventory,,1.0,
,078000001686,Canada Dry Ginger Ale (710 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,2.99,
,078000013368,Crush Orange Soda,,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.33,
,078000082081,Dr Pepper Root Beer 2L,,grocery,Soda,,,,,,Scarbro Mart Inventory,,3.99,
,078000082463,Dr Pepper Soda 355 ml,,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.55,
,078000146455,Canada Dry Club Soda (2 L),,grocery,Mixers,,,,,,Scarbro Mart Inventory,,4.44,
,078000152166,Canada Dry Ginger Ale (355 ml),,grocery,Soda,,,,,,Scarbro Mart Inventory,,1.33,
